Var1,Unnamed_0,Sol,peak_centre,delta_P_obs,p_lor_fit,p_lsr_delta_P,p_lsr_peak_time,p_lsr_fit,pres_rate,delta_V,v_lor_fit,v_lsr_delta_V,v_lsr_peak_time,v_lsr_fit,backg_V,time_FWHM,theta_obs,azimuth,miss_distance,D,delta_P,peak_Bz,mag_rate
11,11,466,466.509628472222,-0.385282263525141,NaN,-0.350002003088722,466.509608018971,0.0065870881524091,10,NaN,NaN,NaN,NaN,NaN,11.2419654477612,24.3206237311342,1.07952024652533e-08,-0.180520254147583,93.8731722173244,204.6185378407,-0.644663611654308,11.973,2
12,12,466,466.535775462963,-0.360004557269917,NaN,-0.350000476385826,466.535764700974,0.0064461736668587,10,NaN,NaN,NaN,NaN,NaN,11.2816107462687,5.62326564999216,9.30329820950078e-09,0.529487923399641,23.4628210628269,44.1565405718419,-0.745275161159898,5.65800000000002,2
13,13,466,466.547969907407,-0.599745547025464,NaN,-0.450211002778159,466.548062955577,0.0068269419357911,10,NaN,NaN,NaN,NaN,NaN,10.7050089303483,111.6002189841,1.41352627153798e-08,-0.475180038728937,406.548966077416,900.700651028755,-0.817105218087738,5.11200000000008,2
14,14,466,466.549069444445,-0.53432829150438,NaN,-0.350012692135904,466.548971983962,0.0271068149391579,10,NaN,NaN,NaN,NaN,NaN,11.6863218656716,103.457935850618,1.41352627153798e-08,-0.475180038728937,362.7741032359,990.748205215641,-0.537723703762649,5.60699999999997,2
15,15,466,466.562246527778,-3.28304990643392,NaN,-2.9757558643929,466.562243423153,0.0301954520436245,10,NaN,NaN,NaN,NaN,NaN,9.51265249131228,8.78446674719825,4.96043464012526e-08,2.0109172742993,39.026579442918,33.3370164364147,-19.2884167482179,3.42700000000002,2
16,16,466,466.616855324074,-0.714068604709951,NaN,-0.66802506326065,466.616853645541,0.0044302556309653,10,NaN,NaN,NaN,NaN,NaN,6.5889911388332,5.26100824964997,8.77662502679717e-09,-0.135525132594889,18.2358152217202,NaN,9.14602854579831,2.23799999999994,2
17,17,466,466.631490740741,-0.472126402963795,NaN,-0.420738089996499,466.631487270471,0.0038703071209258,10,NaN,NaN,NaN,NaN,NaN,8.85935248756219,1.58370280811189,2.03909039420863e-09,0.517945437192693,12.1525667303656,NaN,0.220410808509129,2.06000000000006,2
18,18,466,466.638896990741,-0.470337385637549,NaN,-0.350022315578406,466.638892292338,0.002372912624791,10,NaN,NaN,NaN,NaN,NaN,7.82974268656717,2.98720612898346,3.30222484860337e-09,-3.08106984769978,14.519842247834,NaN,0.708107522767166,2.21300000000008,2
19,19,466,466.930715277778,-0.476562725485564,NaN,-0.466519399286383,466.930689718475,0.0012294591244191,10,NaN,NaN,NaN,NaN,NaN,3.63601303482587,152.837898352345,3.59111978874221e-10,2.31263479185313,1207.76118083445,NaN,0.0269441575060722,1.36500000000001,2
20,20,466,466.936572916667,-0.355970760198033,NaN,-0.351075446447044,466.936593028859,0.0011658847117623,10,NaN,NaN,NaN,NaN,NaN,3.24286684079602,135.295899449762,3.36709241909033e-10,2.0999989336679,854.262082911157,NaN,0.0256272907105411,2.42399999999998,2
0,0,467,467.364070601852,-0.491086720682688,NaN,-0.416668124471349,467.364069939842,0.0037413239497543,10,NaN,NaN,NaN,NaN,NaN,9.22039589552239,8.30254805377693,1.03422690249555e-08,1.21995734900215,29.2990042303438,51.1066536124537,-0.964441727766594,0.868000000000052,2
